category,factor_name,selected,importance,rank,ic_mean,icir,t_stat,p_value,adjusted_pvalue,composite_score,meaning,source_file,window
Growth,netprofit_yoy,False,0.7847,1,,,,,,0.5605,归母净利润同比增长率。反映公司业绩的扩张速度。,quality_factors,Window_2023
Growth,basic_eps_yoy,True,0.8172,2,0.006483,0.0556,1.1485,0.251412,0.28414,0.3705,基本每股收益同比增长率。综合反映盈利与股本扩张后的实际回报增长。,quality_factors,Window_2023
Growth,tr_yoy,False,1.0,3,0.004959,0.052,1.0724,0.28414,0.28414,0.3091,营业总收入同比增长率。反映公司业务规模的扩张速度。,quality_factors,Window_2023
Momentum,MOM_ACCEL,True,1.0,1,-0.025206,-0.1885,-4.1168,4.5e-05,0.000114,0.5866,近期3个月动量减去过去6个月动量，衡量动量加速度,reversal_momentum_factors,Window_2023
Momentum,MOM_skip1m,False,0.7609,2,,,,,,0.5435,过去1年收益率（跳过最近20天），避免短期反转干扰,reversal_momentum_factors,Window_2023
Momentum,ma_cross_5_20,True,0.7052,3,-0.029482,-0.1897,-4.0999,4.9e-05,0.000114,0.5237,5日均线与20日均线的偏离度（双均线交叉代理）。,price_volume_factors,Window_2023
Momentum,momentum_1m,False,0.8513,4,-0.034097,-0.2091,-4.3704,1.6e-05,0.000112,0.4742,过去20个交易日的收益率（月度动量）。,price_volume_factors,Window_2023
Momentum,long_momentum,False,0.886,5,-0.027202,-0.1551,-2.9307,0.0036,0.0063,0.4188,60日收益率。中期动量因子，筛选出中期处于上升通道的股票。,price_volume_factors,Window_2023
Momentum,MOM_6m,False,0.9841,6,-0.009439,-0.0535,-1.1692,0.24292,0.340088,0.3202,过去6个月收益率，捕捉中期动量效应,reversal_momentum_factors,Window_2023
Momentum,IND_NEUT_MOM,False,0.9724,7,-0.005236,-0.0404,-0.883,0.377663,0.440607,0.2944,在申万一级行业内做Z-score标准化的6个月动量,reversal_momentum_factors,Window_2023
Momentum,MOM_12m,False,0.971,8,-0.004881,-0.0284,-0.6212,0.534736,0.534736,0.2818,过去1年收益率，捕捉长期动量效应,reversal_momentum_factors,Window_2023
Price-Volume,Alpha150,True,0.5455,1,-0.056378,-0.3248,-7.0935,0.0,0.0,0.5679,"【原始公式】
(CLOSE+HIGH+LOW)/3*VOLUME

【核心含义】
国泰君安191因子体系中的 Alpha150 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2023
Price-Volume,Alpha100,True,0.5329,2,-0.047523,-0.3089,-6.7324,0.0,0.0,0.5406,"【原始公式】
STD(VOLUME,20)

【核心含义】
国泰君安191因子体系中的 Alpha100 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2023
Price-Volume,Alpha167,True,0.6496,3,-0.039218,-0.1866,-4.0627,5.7e-05,0.000177,0.5338,"【原始公式】
SUM((CLOSE-DELAY(CLOSE,1)>0?CLOSE-DELAY(CLOSE,1):0),12

【核心含义】
国泰君安191因子体系中的 Alpha167 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2023
Price-Volume,Alpha70,True,0.34,4,-0.055158,-0.3367,-7.339,0.0,0.0,0.515,"【原始公式】
STD(AMOUNT,6)

【核心含义】
国泰君安191因子体系中的 Alpha70 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2023
Price-Volume,Alpha4,False,0.932,5,0.02384,0.5272,3.9099,0.00026,0.000674,0.5051,"【原始公式】
((((SUM(CLOSE,8)/8)+STD(CLOSE,8))<(SUM(CLOSE,2)/2))?(-1*1):(((SUM(CLOSE,2)/2)<((SUM(CLOSE,8)/8)-STD(CLOSE,8)))?1:(((1<(VOLUME/MEAN(VOLUME,20)))||((VOLUME/MEAN(VOLUME,20))==1))?1:(-1*1))))

【核心含义】
国泰君安191因子体系中的 Alpha4 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2023
Price-Volume,QTLD60,True,0.2254,6,0.047955,0.2814,5.8698,0.0,0.0,0.4614,"【核心含义】
区间下分位数 (Quantile Down)：过去60天价格的20%分位数相对当前价格的比值。类似布林带下轨概念。

【运行原理】
分位数排序：在设定的N天时间窗口内，将所有交易日的收盘价从小到大进行排列；
低位分位提取：提取位于 20% 分位点(0.2)的收盘价，作为该区间的“稳健支撑位”（剔除了极端的单日最低价干扰）；
归一化处理：将该20%分位价格除以当前的最新收盘价；
下行空间评估：用于衡量当前价格距离近期筹码低位密集区的距离，评估向下回调的潜在缓冲空间。",price_volume_factors,Window_2023
Price-Volume,VSUMP60,True,0.142,7,-0.04374,-0.3864,-8.4402,0.0,0.0,0.4432,"【核心含义】
放量绝对值占比 (Volume Sum Positive)：过去60天中成交量增加部分的绝对量占比。

【运行原理】
追涨量剥离：在N天窗口内，专门筛选出股价上涨当天的成交量变化量；
多头量能累加：将符合条件的追涨量能进行加总；
总基准归一化：将总的多头量能除以这N天内所有的成交量绝对变化之和；
资金抢筹评估：数值越大，说明该区间内的波动主要由资金积极入场抢筹的放量上涨所主导，是判断底部建仓或主升浪的重要依据。",price_volume_factors,Window_2023
Price-Volume,Alpha106,True,0.3497,8,-0.031148,-0.2093,-4.3746,1.5e-05,5e-05,0.4415,"【原始公式】
CLOSE-DELAY(CLOSE,20)

【核心含义】
国泰君安191因子体系中的 Alpha106 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2023
Price-Volume,QTLD30,True,0.1642,9,0.043122,0.2756,5.8907,0.0,0.0,0.4333,"【核心含义】
区间下分位数 (Quantile Down)：过去30天价格的20%分位数相对当前价格的比值。类似布林带下轨概念。

【运行原理】
分位数排序：在设定的N天时间窗口内，将所有交易日的收盘价从小到大进行排列；
低位分位提取：提取位于 20% 分位点(0.2)的收盘价，作为该区间的“稳健支撑位”（剔除了极端的单日最低价干扰）；
归一化处理：将该20%分位价格除以当前的最新收盘价；
下行空间评估：用于衡量当前价格距离近期筹码低位密集区的距离，评估向下回调的潜在缓冲空间。",price_volume_factors,Window_2023
Price-Volume,IMAX60,True,0.2041,10,-0.038819,-0.2784,-6.0612,0.0,0.0,0.4329,"【核心含义】
最高价距离天数 (Index of Max)：过去60天中最高价发生在那一天（距离当前的倒数天数）。反映高点的时效性。

【运行原理】
极值寻址：在设定的N天时间窗口内，扫描每日的最高价，定位到最大值出现的那一天；
索引提取：获取该最大值所在天数距离当前窗口起始点的索引位置(IdxMax)；
时间归一化：将该位置索引除以窗口总长度N；
动能衰减评估：结果越接近1，说明创出新高的时间越近（近期动能强）；越接近0，说明高点在窗口早期，当前处于长期回调中。",price_volume_factors,Window_2023
Price-Volume,IMXD60,True,0.2069,11,-0.038324,-0.2529,-5.518,0.0,0.0,0.4291,"【核心含义】
高低点极值距离 (Index Distance)：过去60天内最高价和最低价发生天数的差值。反映趋势的运行节奏和周期。

【运行原理】
高点寻址：在N天窗口内找到最高价所在的时间索引(IdxMax)；
低点寻址：在同一窗口内找到最低价所在的时间索引(IdxMin)；
时差计算：将高点索引减去低点索引，得出极值点之间的时间跨度；
跨度归一化：将时间跨度除以窗口长度N；
趋势形态判定：正值表示“先见底后见顶”（上升趋势），负值表示“先见顶后见底”（下降趋势），绝对值大小代表趋势持续的时间跨度。",price_volume_factors,Window_2023
Price-Volume,MIN60,True,0.2005,12,0.039115,0.2269,4.95,1e-06,5e-06,0.4263,"【核心含义】
区间最低价相对值 (Min)：过去60天的最低价相对当前价格的比值。反映当前价格距离前期低点的距离（支撑位）。

【运行原理】
极值扫描：在设定的N天滑动窗口内，遍历每一天的最低价；
谷值提取：找出这N天中的全局最低价(Min)，即近期的支撑位；
支撑位归一化：将提取出的历史最低价除以当前的最新收盘价；
破底距离刻画：数值反映了当前价格距离近期前低的空间。数值越接近1，说明面临破位风险；数值越小（离1越远），说明已经大幅反弹脱离底部。",price_volume_factors,Window_2023
Price-Volume,ROC30,True,0.1811,13,0.039424,0.2483,5.0706,1e-06,5e-06,0.4249,"【核心含义】
收益率 (Rate of Change)：过去30天的价格变动率。反映股票在30天内的动量或反转特性。

【运行原理】
基准定位：在设定的N天时间窗口中，精确定位到窗口最左侧（期初）的收盘价；
价格比对：获取窗口最右侧（当前）的最新收盘价；
变动换算：计算当前价格相对于期初价格的比值，或计算两者的差值后再除以期初价格；
动量输出：直接刻画该时间区间内整体的价格涨跌幅（动量效应），窗口逐日滑动，实时输出最新收益率。",price_volume_factors,Window_2023
