因子名称,重要性得分(RF Gain),大类,业务意义
shareholder_change,12.747985,risk_factors,股东人数变化
pledge_ratio,10.024302,risk_factors,质押比例
Alpha38,8.279788,price_volume_factors,"【原始公式】 (((SUM(HIGH,20)/20)<HIGH)?(-1*DELTA(HIGH,2)):0)  【核心含义】 国泰君安191因子体系中的 Alpha38 因子。具体业务含义参考原始研报公式解析。"
Alpha86,7.024374,price_volume_factors,"【原始公式】 ((0.25<(((DELAY(CLOSE,20)-DELAY(CLOSE,10))/10)-((DELAY(CLOSE,10)-CLOSE)/10)))?(-1*1):(((((DELAY(CLOSE,20)-DELAY(CLOSE,10))/10)-((DELAY(CLOSE,10)-CLOSE)/10))\<0)?1:((-1*1)*(CLOSE-DELAY(CLOSE,1)))))  【核心含义】 国泰君安191因子体系中的 Alpha86 因子。具体业务含义参考原始研报公式解析。"
Alpha4,6.180013,price_volume_factors,"【原始公式】 ((((SUM(CLOSE,8)/8)+STD(CLOSE,8))<(SUM(CLOSE,2)/2))?(-1*1):(((SUM(CLOSE,2)/2)<((SUM(CLOSE,8)/8)-STD(CLOSE,8)))?1:(((1<(VOLUME/MEAN(VOLUME,20)))||((VOLUME/MEAN(VOLUME,20))==1))?1:(-1*1))))  【核心含义】 国泰君安191因子体系中的 Alpha4 因子。具体业务含义参考原始研报公式解析。"
Alpha53,5.162795,price_volume_factors,"【原始公式】 COUNT(CLOSE>DELAY(CLOSE,1),12)/12*100  【核心含义】 国泰君安191因子体系中的 Alpha53 因子。具体业务含义参考原始研报公式解析。"
Alpha75,3.724512,price_volume_factors,"【原始公式】 BANCHMARKINDEXCLOSE<BANCHMARKINDEXOPEN,50)/COUNT(BANCHMARKINDEXCLOSE<BANCHMARKIN DEXOPEN,50)  【核心含义】 国泰君安191因子体系中的 Alpha75 因子。具体业务含义参考原始研报公式解析。"
Alpha58,3.228138,price_volume_factors,"【原始公式】 COUNT(CLOSE>DELAY(CLOSE,1),20)/20*100  【核心含义】 国泰君安191因子体系中的 Alpha58 因子。具体业务含义参考原始研报公式解析。"
IMIN5,3.18302,price_volume_factors,【核心含义】 最低价距离天数 (Index of Min)：过去5天中最低价发生在那一天。反映低点的时效性。  【运行原理】 极值寻址：在N天滑动窗口内，扫描每日最低价，定位到最小值出现的那一天； 索引提取：获取该最小值距离窗口起始位置的时间索引(IdxMin)； 时间归一化：将索引值除以窗口总长度N，转换为0到1之间的相对时间比例； 见底时间评估：数值越大说明近期刚刚创出新低，抛压仍在释放；数值越小说明低点发生在窗口初期，目前可能已企稳反弹。
RANK5,2.457903,price_volume_factors,【核心含义】 价格相对排位 (Rank)：当前价格在过去5天价格中的百分比排位。反映当前处于近期波动区间的什么水平。  【运行原理】 数据收集：在N天的滑动窗口内，收集每日的收盘价； 截面排序：将当前的最新收盘价与窗口内历史所有收盘价进行大小比对； 分位数换算：计算当前价格在历史序列中所处的百分比排名(Rank)； 相对强弱定性：结果在0到1之间，1表示当前创出新高，0表示创出新低，用于判断当前价格在近期波动区间内的相对身位。
IMAX5,2.295515,price_volume_factors,【核心含义】 最高价距离天数 (Index of Max)：过去5天中最高价发生在那一天（距离当前的倒数天数）。反映高点的时效性。  【运行原理】 极值寻址：在设定的N天时间窗口内，扫描每日的最高价，定位到最大值出现的那一天； 索引提取：获取该最大值所在天数距离当前窗口起始点的索引位置(IdxMax)； 时间归一化：将该位置索引除以窗口总长度N； 动能衰减评估：结果越接近1，说明创出新高的时间越近（近期动能强）；越接近0，说明高点在窗口早期，当前处于长期回调中。
Alpha15,2.124296,price_volume_factors,"【原始公式】 OPEN/DELAY(CLOSE,1)-1  【核心含义】 国泰君安191因子体系中的 Alpha15 因子。具体业务含义参考原始研报公式解析。"
