category,factor_name,selected,importance,rank,meaning,source_file
momentum,MOM_6m,True,1.0,1,过去6个月收益率，捕捉中期动量效应,reversal_momentum_factors
momentum,IND_NEUT_MOM,True,0.7895,2,在申万一级行业内做Z-score标准化的6个月动量,reversal_momentum_factors
momentum,MOM_ACCEL,False,0.5785,3,近期3个月动量减去过去6个月动量，衡量动量加速度,reversal_momentum_factors
momentum,MOM_12m,False,0.4807,4,过去1年收益率，捕捉长期动量效应,reversal_momentum_factors
momentum,MOM_skip1m,False,0.335,5,过去1年收益率（跳过最近20天），避免短期反转干扰,reversal_momentum_factors
reversal,VOL_REV,True,1.0,1,过去60日收益率标准差取负，捕捉波动率反转效应,reversal_momentum_factors
reversal,STR_20d,True,0.9779,2,过去20个交易日收益率取负，捕捉短期反转效应,reversal_momentum_factors
reversal,STR_5d,False,0.8969,3,过去5个交易日收益率取负，捕捉超短期反转效应,reversal_momentum_factors
reversal,LTR_12m,False,0.8948,4,过去1年收益率取负（跳过最近20天），捕捉长期反转效应,reversal_momentum_factors
reversal,EXTREME_REV,False,0.6938,5,当日涨跌幅超过9.5%时取反，否则为0,reversal_momentum_factors
估值,pb_lf,True,1.0,1,市净率（LF）。反映股价相对最新净资产的溢价。,style_factors
估值,pe_ttm,True,0.9165,2,市盈率（TTM）。反映股价相对盈利的溢价，值越低估值越低。,style_factors
估值,ps_ttm,False,0.8764,3,市销率（TTM）。反映股价相对营收的溢价。,style_factors
估值,dv_ttm,False,0.7324,4,股息率（TTM）。反映股票的现金回报能力。,style_factors
市值与流动性,illiquidity_amihud,True,1.0,1,Amihud 非流动性指标,style_factors
情绪,eps_forecast_yoy,True,1.0,1,预期净利润增速（eps_last 缺失，改用 eps 替代）,sentiment_factors
成长,tr_yoy,True,1.0,1,营业总收入同比增长率。反映公司业务规模的扩张速度。,quality_factors
成长,netprofit_yoy,True,0.7141,2,归母净利润同比增长率。反映公司业绩的扩张速度。,quality_factors
成长,basic_eps_yoy,False,0.6577,3,基本每股收益同比增长率。综合反映盈利与股本扩张后的实际回报增长。,quality_factors
波动率,volatility_1m,True,1.0,1,过去20个交易日的日收益率标准差。低波动率异象：A股中历史波动率低的股票，未来收益往往更高且回撤小。,risk_factors
盈利,netprofit_margin,True,1.0,1,销售净利率（TTM）。反映企业每 1 元营收的净利润，综合体现成本、费用控制能力。,quality_factors
盈利,grossprofit_margin,True,0.9179,2,销售毛利率（TTM）。反映企业产品的核心盈利空间，值越高产品竞争力越强。,quality_factors
盈利,roa_ttm,False,0.876,3,总资产收益率（TTM）。剔除财务杠杆影响，更贴合企业真实盈利。,quality_factors
盈利,roe_ttm,False,0.8384,4,净资产收益率（TTM）。反映股东权益的盈利效率，值越高盈利能力越强。,quality_factors
财务质量,current_ratio,True,1.0,1,流动比率。反映企业短期偿债能力和资金周转状况。,quality_factors
财务质量,debt_to_assets,True,0.9991,2,资产负债率。反映企业的财务杠杆和长期偿债风险。,quality_factors
财务质量,inv_turn,False,0.9826,3,存货周转率。反映企业存货管理的效率，数值越高说明存货变现速度越快。,quality_factors
质量,ocf_to_netprofit,True,1.0,1,盈利现金流含量。n_cashflow_act(cashflow_statement) / n_income_attr_p(income_statement),quality_factors
质量,q_profit_yoy,True,1.0,1,扣非净利润同比。ClickHouse 无此列，Qlib 数据缓存不完整，暂时无法生成。,quality_factors
风格,total_mv_log,True,1.0,1,总市值对数（负向）,style_factors
风险,beta,True,1.0,1,Beta系数。DuckDB 滚动60日协方差回归计算。,risk_factors
