category,factor_name,selected,direction,direction_consistency,composite_score,n_windows_selected,total_windows,earliest_selected_window,meaning,source_file
Growth,netprofit_yoy,False,,,0.4985,1,3,Window_2025,归母净利润同比增长率。反映公司业绩的扩张速度。,quality_factors
Growth,basic_eps_yoy,False,,,0.4525,2,3,Window_2023,基本每股收益同比增长率。综合反映盈利与股本扩张后的实际回报增长。,quality_factors
Growth,tr_yoy,False,,,0.384,0,3,,营业总收入同比增长率。反映公司业务规模的扩张速度。,quality_factors
Growth,eps_forecast_yoy,False,,,0.0,0,3,,预期净利润增速（eps_last 缺失，改用 eps 替代）,sentiment_factors
Momentum,long_momentum,True,-1.0,1.0,0.5823,2,3,Window_2024,60日收益率。中期动量因子，筛选出中期处于上升通道的股票。,price_volume_factors
Momentum,ma_cross_5_20,False,-1.0,1.0,0.4521,2,3,Window_2023,5日均线与20日均线的偏离度（双均线交叉代理）。,price_volume_factors
Momentum,MOM_skip1m,False,,,0.4928,0,3,,过去1年收益率（跳过最近20天），避免短期反转干扰,reversal_momentum_factors
Momentum,MOM_6m,False,,,0.4544,1,3,Window_2024,过去6个月收益率，捕捉中期动量效应,reversal_momentum_factors
Momentum,momentum_1m,False,,,0.4523,1,3,Window_2025,过去20个交易日的收益率（月度动量）。,price_volume_factors
Momentum,IND_NEUT_MOM,False,,,0.3543,1,3,Window_2024,在申万一级行业内做Z-score标准化的6个月动量,reversal_momentum_factors
Momentum,MOM_ACCEL,False,,,0.3517,1,3,Window_2023,近期3个月动量减去过去6个月动量，衡量动量加速度,reversal_momentum_factors
Momentum,MOM_12m,False,,,0.296,0,3,,过去1年收益率，捕捉长期动量效应,reversal_momentum_factors
Price-Volume,Alpha150,True,-1.0,1.0,0.7033,3,3,Window_2023,"【原始公式】
(CLOSE+HIGH+LOW)/3*VOLUME

【核心含义】
国泰君安191因子体系中的 Alpha150 因子。具体业务含义参考原始研报公式解析。",price_volume_factors
Price-Volume,Alpha167,True,-1.0,1.0,0.5579,3,3,Window_2023,"【原始公式】
SUM((CLOSE-DELAY(CLOSE,1)>0?CLOSE-DELAY(CLOSE,1):0),12

【核心含义】
国泰君安191因子体系中的 Alpha167 因子。具体业务含义参考原始研报公式解析。",price_volume_factors
Price-Volume,Alpha70,False,-1.0,1.0,0.5335,3,3,Window_2023,"【原始公式】
STD(AMOUNT,6)

【核心含义】
国泰君安191因子体系中的 Alpha70 因子。具体业务含义参考原始研报公式解析。",price_volume_factors
Price-Volume,QTLD60,True,1.0,1.0,0.4814,3,3,Window_2023,"【核心含义】
区间下分位数 (Quantile Down)：过去60天价格的20%分位数相对当前价格的比值。类似布林带下轨概念。

【运行原理】
分位数排序：在设定的N天时间窗口内，将所有交易日的收盘价从小到大进行排列；
低位分位提取：提取位于 20% 分位点(0.2)的收盘价，作为该区间的“稳健支撑位”（剔除了极端的单日最低价干扰）；
归一化处理：将该20%分位价格除以当前的最新收盘价；
下行空间评估：用于衡量当前价格距离近期筹码低位密集区的距离，评估向下回调的潜在缓冲空间。",price_volume_factors
Price-Volume,KLEN,True,-1.0,1.0,0.4701,3,3,Window_2023,"【核心含义】
K线全长比例：衡量日内最高价与最低价之间的整体波动幅度，反映日内整体的交易活跃度与分歧。

【运行原理】
日内振幅提取：获取当日的最高价(high)和最低价(low)，两者的差值即为全天价格的最大波动区间；
基准标定：获取当日的开盘价(open)作为日内波动的基准参考；
无量纲化：将全天波动区间除以开盘价；
波动率刻画：结果反映了单日内多空双方交战的激烈程度，数值越大说明日内分歧和洗盘越剧烈。",price_volume_factors
Price-Volume,Alpha129,False,-1.0,1.0,0.4616,2,3,Window_2024,"【原始公式】
SUM((CLOSE-DELAY(CLOSE,1)\<0?ABS(CLOSE-DELAY(CLOSE,1)):0),12)

【核心含义】
国泰君安191因子体系中的 Alpha129 因子。具体业务含义参考原始研报公式解析。",price_volume_factors
Price-Volume,Alpha189,False,-1.0,1.0,0.4473,2,3,Window_2024,"【原始公式】
MEAN(ABS(CLOSE-MEAN(CLOSE,6)),6)

【核心含义】
国泰君安191因子体系中的 Alpha189 因子。具体业务含义参考原始研报公式解析。",price_volume_factors
Price-Volume,ROC60,False,1.0,1.0,0.4444,2,3,Window_2024,"【核心含义】
收益率 (Rate of Change)：过去60天的价格变动率。反映股票在60天内的动量或反转特性。

【运行原理】
基准定位：在设定的N天时间窗口中，精确定位到窗口最左侧（期初）的收盘价；
价格比对：获取窗口最右侧（当前）的最新收盘价；
变动换算：计算当前价格相对于期初价格的比值，或计算两者的差值后再除以期初价格；
动量输出：直接刻画该时间区间内整体的价格涨跌幅（动量效应），窗口逐日滑动，实时输出最新收益率。",price_volume_factors
Price-Volume,MIN60,False,1.0,1.0,0.4441,3,3,Window_2023,"【核心含义】
区间最低价相对值 (Min)：过去60天的最低价相对当前价格的比值。反映当前价格距离前期低点的距离（支撑位）。

【运行原理】
极值扫描：在设定的N天滑动窗口内，遍历每一天的最低价；
谷值提取：找出这N天中的全局最低价(Min)，即近期的支撑位；
支撑位归一化：将提取出的历史最低价除以当前的最新收盘价；
破底距离刻画：数值反映了当前价格距离近期前低的空间。数值越接近1，说明面临破位风险；数值越小（离1越远），说明已经大幅反弹脱离底部。",price_volume_factors
Price-Volume,STD5,True,-1.0,1.0,0.4242,3,3,Window_2023,"【核心含义】
价格波动率 (Standard Deviation)：过去5天价格的相对标准差。衡量股票在该窗口期内的波动风险和活跃度。

【运行原理】
波动离散：在N天的滑动窗口内，计算每日收盘价序列的总体标准差(Std)，衡量价格分布的离散程度；
波动率归一化：将计算出的绝对标准差除以当前的最新收盘价；
风险刻画：将绝对的金额波动转化为相对的百分比波动率，数值越大说明近期走势越剧烈（风险与弹性高），数值越小说明走势越趋于横盘死水。",price_volume_factors
Price-Volume,STD10,True,-1.0,1.0,0.4203,3,3,Window_2023,"【核心含义】
价格波动率 (Standard Deviation)：过去10天价格的相对标准差。衡量股票在该窗口期内的波动风险和活跃度。

【运行原理】
波动离散：在N天的滑动窗口内，计算每日收盘价序列的总体标准差(Std)，衡量价格分布的离散程度；
波动率归一化：将计算出的绝对标准差除以当前的最新收盘价；
风险刻画：将绝对的金额波动转化为相对的百分比波动率，数值越大说明近期走势越剧烈（风险与弹性高），数值越小说明走势越趋于横盘死水。",price_volume_factors
Price-Volume,STD20,False,-1.0,1.0,0.4153,3,3,Window_2023,"【核心含义】
价格波动率 (Standard Deviation)：过去20天价格的相对标准差。衡量股票在该窗口期内的波动风险和活跃度。

【运行原理】
波动离散：在N天的滑动窗口内，计算每日收盘价序列的总体标准差(Std)，衡量价格分布的离散程度；
波动率归一化：将计算出的绝对标准差除以当前的最新收盘价；
风险刻画：将绝对的金额波动转化为相对的百分比波动率，数值越大说明近期走势越剧烈（风险与弹性高），数值越小说明走势越趋于横盘死水。",price_volume_factors
Price-Volume,ROC30,False,1.0,1.0,0.4131,3,3,Window_2023,"【核心含义】
收益率 (Rate of Change)：过去30天的价格变动率。反映股票在30天内的动量或反转特性。

【运行原理】
基准定位：在设定的N天时间窗口中，精确定位到窗口最左侧（期初）的收盘价；
价格比对：获取窗口最右侧（当前）的最新收盘价；
变动换算：计算当前价格相对于期初价格的比值，或计算两者的差值后再除以期初价格；
动量输出：直接刻画该时间区间内整体的价格涨跌幅（动量效应），窗口逐日滑动，实时输出最新收益率。",price_volume_factors
