category,factor_name,selected,direction,direction_consistency,composite_score,n_windows_selected,total_windows,earliest_selected_window,meaning,source_file
Momentum,long_momentum,True,-1.0,1.0,0.5823,2,3,Window_2024,60日收益率。中期动量因子，筛选出中期处于上升通道的股票。,price_volume_factors
Price-Volume,Alpha150,True,-1.0,1.0,0.7033,3,3,Window_2023,"【原始公式】
(CLOSE+HIGH+LOW)/3*VOLUME

【核心含义】
国泰君安191因子体系中的 Alpha150 因子。具体业务含义参考原始研报公式解析。",price_volume_factors
Price-Volume,Alpha167,True,-1.0,1.0,0.5579,3,3,Window_2023,"【原始公式】
SUM((CLOSE-DELAY(CLOSE,1)>0?CLOSE-DELAY(CLOSE,1):0),12

【核心含义】
国泰君安191因子体系中的 Alpha167 因子。具体业务含义参考原始研报公式解析。",price_volume_factors
Price-Volume,QTLD60,True,1.0,1.0,0.4814,3,3,Window_2023,"【核心含义】
区间下分位数 (Quantile Down)：过去60天价格的20%分位数相对当前价格的比值。类似布林带下轨概念。

【运行原理】
分位数排序：在设定的N天时间窗口内，将所有交易日的收盘价从小到大进行排列；
低位分位提取：提取位于 20% 分位点(0.2)的收盘价，作为该区间的“稳健支撑位”（剔除了极端的单日最低价干扰）；
归一化处理：将该20%分位价格除以当前的最新收盘价；
下行空间评估：用于衡量当前价格距离近期筹码低位密集区的距离，评估向下回调的潜在缓冲空间。",price_volume_factors
Price-Volume,KLEN,True,-1.0,1.0,0.4701,3,3,Window_2023,"【核心含义】
K线全长比例：衡量日内最高价与最低价之间的整体波动幅度，反映日内整体的交易活跃度与分歧。

【运行原理】
日内振幅提取：获取当日的最高价(high)和最低价(low)，两者的差值即为全天价格的最大波动区间；
基准标定：获取当日的开盘价(open)作为日内波动的基准参考；
无量纲化：将全天波动区间除以开盘价；
波动率刻画：结果反映了单日内多空双方交战的激烈程度，数值越大说明日内分歧和洗盘越剧烈。",price_volume_factors
Price-Volume,STD5,True,-1.0,1.0,0.4242,3,3,Window_2023,"【核心含义】
价格波动率 (Standard Deviation)：过去5天价格的相对标准差。衡量股票在该窗口期内的波动风险和活跃度。

【运行原理】
波动离散：在N天的滑动窗口内，计算每日收盘价序列的总体标准差(Std)，衡量价格分布的离散程度；
波动率归一化：将计算出的绝对标准差除以当前的最新收盘价；
风险刻画：将绝对的金额波动转化为相对的百分比波动率，数值越大说明近期走势越剧烈（风险与弹性高），数值越小说明走势越趋于横盘死水。",price_volume_factors
Price-Volume,STD10,True,-1.0,1.0,0.4203,3,3,Window_2023,"【核心含义】
价格波动率 (Standard Deviation)：过去10天价格的相对标准差。衡量股票在该窗口期内的波动风险和活跃度。

【运行原理】
波动离散：在N天的滑动窗口内，计算每日收盘价序列的总体标准差(Std)，衡量价格分布的离散程度；
波动率归一化：将计算出的绝对标准差除以当前的最新收盘价；
风险刻画：将绝对的金额波动转化为相对的百分比波动率，数值越大说明近期走势越剧烈（风险与弹性高），数值越小说明走势越趋于横盘死水。",price_volume_factors
Price-Volume,CORD30,True,-1.0,1.0,0.406,3,3,Window_2023,"【核心含义】
量价收益率相关性 (Corr of Return/Volume)：过去30天价格收益率与成交量的相关系数。衡量上涨是否伴随放量。

【运行原理】
变化率提取：在设定时间窗口内，分别计算出每日的“价格收益率”(当日收盘/昨日收盘) 和“对数成交量变化率”(Log(当日成交量/昨日成交量+1))；
序列配对：将这两个时间序列组成配对样本；
相关性计算：计算这两个序列在N天内的皮尔逊(Pearson)相关系数；
量价剖析：结果介于-1到1之间，正值代表量价齐升/缩量下跌，负值代表放量下跌/缩量上涨，用于洞察资金推动价格的真实效率。",price_volume_factors
Price-Volume,MIN5,True,1.0,1.0,0.398,3,3,Window_2023,"【核心含义】
区间最低价相对值 (Min)：过去5天的最低价相对当前价格的比值。反映当前价格距离前期低点的距离（支撑位）。

【运行原理】
极值扫描：在设定的N天滑动窗口内，遍历每一天的最低价；
谷值提取：找出这N天中的全局最低价(Min)，即近期的支撑位；
支撑位归一化：将提取出的历史最低价除以当前的最新收盘价；
破底距离刻画：数值反映了当前价格距离近期前低的空间。数值越接近1，说明面临破位风险；数值越小（离1越远），说明已经大幅反弹脱离底部。",price_volume_factors
Price-Volume,MIN10,True,1.0,1.0,0.3936,3,3,Window_2023,"【核心含义】
区间最低价相对值 (Min)：过去10天的最低价相对当前价格的比值。反映当前价格距离前期低点的距离（支撑位）。

【运行原理】
极值扫描：在设定的N天滑动窗口内，遍历每一天的最低价；
谷值提取：找出这N天中的全局最低价(Min)，即近期的支撑位；
支撑位归一化：将提取出的历史最低价除以当前的最新收盘价；
破底距离刻画：数值反映了当前价格距离近期前低的空间。数值越接近1，说明面临破位风险；数值越小（离1越远），说明已经大幅反弹脱离底部。",price_volume_factors
Price-Volume,LOW0,True,1.0,1.0,0.3931,3,3,Window_2023,"【核心含义】
相对收盘的最低价：衡量今日最低价相对于最新收盘价的位置，反映日内低点反弹的幅度。

【运行原理】
数据截取：仅获取当前单个交易日的最低价(low)和收盘价(close)；
相对换算：将当日最低价直接除以当日收盘价；
折价刻画：结果必然小于或等于1，数值越小，说明日内曾经深度下探但最终被强力拉回，反映出下方承接盘的厚度（长下影线的变体表达）。",price_volume_factors
Price-Volume,CORD60,True,-1.0,1.0,0.3928,3,3,Window_2023,"【核心含义】
量价收益率相关性 (Corr of Return/Volume)：过去60天价格收益率与成交量的相关系数。衡量上涨是否伴随放量。

【运行原理】
变化率提取：在设定时间窗口内，分别计算出每日的“价格收益率”(当日收盘/昨日收盘) 和“对数成交量变化率”(Log(当日成交量/昨日成交量+1))；
序列配对：将这两个时间序列组成配对样本；
相关性计算：计算这两个序列在N天内的皮尔逊(Pearson)相关系数；
量价剖析：结果介于-1到1之间，正值代表量价齐升/缩量下跌，负值代表放量下跌/缩量上涨，用于洞察资金推动价格的真实效率。",price_volume_factors
Price-Volume,CORR30,True,-1.0,1.0,0.3915,3,3,Window_2023,"【核心含义】
量价相关性 (Correlation)：过去30天价格与成交量的相关系数。反映'量增价涨'或'量缩价跌'等量价配合关系的紧密程度。

【运行原理】
序列提取：在设定的N天滑动窗口内，同步截取每日的收盘价序列与成交量序列；
相关性计算：直接对这两个原始绝对值序列计算皮尔逊相关系数(Pearson Correlation)；
状态输出：生成-1到1之间的系数，无需去均值或对数化，用于最直观地评估当前区间内价格高低与成交量大小之间的线性同步程度。",price_volume_factors
Price-Volume,KLOW,True,-1.0,1.0,0.3817,3,3,Window_2023,"【核心含义】
K线下影线比例：衡量实体下边缘到日内最低价的距离，反映日内空头向下试探后被多头托起的程度。

【运行原理】
形态截取：获取当日的收盘价(close)和最低价(low)；
下影线（或实体下部）计算：计算两者之间的绝对差值，代表价格从日内低点被拉回（或砸下）的空间；
比例换算：将该差值除以当日开盘价(open)进行标准化；
支撑测试：该指标用于刻画下方买盘的承接力度，数值越大说明日内探底回升的动作越明显。",price_volume_factors
Price-Volume,Alpha134,True,-1.0,1.0,0.3814,3,3,Window_2023,"【原始公式】
(CLOSE-DELAY(CLOSE,12))/DELAY(CLOSE,12)*VOLUME

【核心含义】
国泰君安191因子体系中的 Alpha134 因子。具体业务含义参考原始研报公式解析。",price_volume_factors
Price-Volume,CORD20,True,-1.0,1.0,0.3797,3,3,Window_2023,"【核心含义】
量价收益率相关性 (Corr of Return/Volume)：过去20天价格收益率与成交量的相关系数。衡量上涨是否伴随放量。

【运行原理】
变化率提取：在设定时间窗口内，分别计算出每日的“价格收益率”(当日收盘/昨日收盘) 和“对数成交量变化率”(Log(当日成交量/昨日成交量+1))；
序列配对：将这两个时间序列组成配对样本；
相关性计算：计算这两个序列在N天内的皮尔逊(Pearson)相关系数；
量价剖析：结果介于-1到1之间，正值代表量价齐升/缩量下跌，负值代表放量下跌/缩量上涨，用于洞察资金推动价格的真实效率。",price_volume_factors
